func_name,elapsed_time,device,num_neurons,connection_prob,timestep,min_delay,max_delay,mean_spikes_per_neuron,mean_spikes_per_bin
event_driven,0.020089149475097656,cpu,10,0.01,0.001,0.002,0.004,0.0,0.0
event_driven,0.02038121223449707,cpu,10,0.05,0.001,0.002,0.004,0.0,0.0
event_driven,0.020029067993164062,cpu,10,0.1,0.001,0.002,0.004,0.6000000238418579,0.05999999865889549
event_driven,0.019668102264404297,cpu,10,0.2,0.001,0.002,0.004,5.099999904632568,0.5099999904632568
event_driven,0.019730806350708008,cpu,10,0.3,0.001,0.002,0.004,7.199999809265137,0.7200000286102295
event_driven,0.02024698257446289,cpu,10,0.4,0.001,0.002,0.004,11.300000190734863,1.1299999952316284
event_driven,0.02056598663330078,cpu,10,0.5,0.001,0.002,0.004,13.199999809265137,1.3200000524520874
event_driven,0.021847009658813477,cpu,10,0.75,0.001,0.002,0.004,19.100000381469727,1.909999966621399
event_driven,0.023122787475585938,cpu,10,1,0.001,0.002,0.004,23.700000762939453,2.369999885559082
event_driven,0.02145099639892578,cpu,100,0.01,0.001,0.002,0.004,0.800000011920929,0.800000011920929
event_driven,0.032457828521728516,cpu,100,0.05,0.001,0.002,0.004,14.34000015258789,14.34000015258789
event_driven,0.05730080604553223,cpu,100,0.1,0.001,0.002,0.004,24.059999465942383,24.059999465942383
event_driven,0.10187029838562012,cpu,100,0.2,0.001,0.002,0.004,26.889999389648438,26.889999389648438
event_driven,0.15971899032592773,cpu,100,0.3,0.001,0.002,0.004,30.860000610351562,30.860000610351562
event_driven,0.2373676300048828,cpu,100,0.4,0.001,0.002,0.004,35.880001068115234,35.880001068115234
event_driven,0.30083298683166504,cpu,100,0.5,0.001,0.002,0.004,37.4900016784668,37.4900016784668
event_driven,0.46576690673828125,cpu,100,0.75,0.001,0.002,0.004,39.83000183105469,39.83000183105469
event_driven,0.6299681663513184,cpu,100,1,0.001,0.002,0.004,40.81999969482422,40.81999969482422
event_driven,0.39461183547973633,cpu,1000,0.01,0.001,0.002,0.004,24.49799919128418,244.97999572753906
event_driven,2.993776321411133,cpu,1000,0.05,0.001,0.002,0.004,37.95800018310547,379.5799865722656
event_driven,6.230642080307007,cpu,1000,0.1,0.001,0.002,0.004,40.8489990234375,408.489990234375
event_driven,12.889965057373047,cpu,1000,0.2,0.001,0.002,0.004,43.268001556396484,432.67999267578125
event_driven,19.725411891937256,cpu,1000,0.3,0.001,0.002,0.004,44.14099884033203,441.4100036621094
event_driven,26.837920665740967,cpu,1000,0.4,0.001,0.002,0.004,45.09299850463867,450.92999267578125
event_driven,33.55560541152954,cpu,1000,0.5,0.001,0.002,0.004,45.11899948120117,451.19000244140625
event_driven,51.352612018585205,cpu,1000,0.75,0.001,0.002,0.004,46.0629997253418,460.6300048828125
event_driven,68.49748396873474,cpu,1000,1,0.001,0.002,0.004,46.055999755859375,460.55999755859375
event_driven,61.181596994400024,cpu,10000,0.01,0.001,0.002,0.004,40.94459915161133,4094.4599609375
event_driven,0.02126789093017578,cpu,10,0.01,0.001,0.002,0.004,0.0,0.0
event_driven,0.02064990997314453,cpu,10,0.05,0.001,0.002,0.004,0.0,0.0
event_driven,0.020229101181030273,cpu,10,0.1,0.001,0.002,0.004,0.30000001192092896,0.029999999329447746
event_driven,0.020251035690307617,cpu,10,0.2,0.001,0.002,0.004,4.800000190734863,0.47999998927116394
event_driven,0.020470857620239258,cpu,10,0.3,0.001,0.002,0.004,8.0,0.800000011920929
event_driven,0.02072620391845703,cpu,10,0.4,0.001,0.002,0.004,12.600000381469727,1.2599999904632568
event_driven,0.0215609073638916,cpu,10,0.5,0.001,0.002,0.004,14.0,1.399999976158142
event_driven,0.022901058197021484,cpu,10,0.75,0.001,0.002,0.004,21.100000381469727,2.109999895095825
event_driven,0.024524688720703125,cpu,10,1,0.001,0.002,0.004,24.100000381469727,2.4100000858306885
event_driven,0.0212860107421875,cpu,100,0.01,0.001,0.002,0.004,0.7200000286102295,0.7200000286102295
event_driven,0.03315901756286621,cpu,100,0.05,0.001,0.002,0.004,14.229999542236328,14.229999542236328
event_driven,0.06029987335205078,cpu,100,0.1,0.001,0.002,0.004,24.170000076293945,24.170000076293945
event_driven,0.10558009147644043,cpu,100,0.2,0.001,0.002,0.004,27.34000015258789,27.34000015258789
event_driven,0.16253423690795898,cpu,100,0.3,0.001,0.002,0.004,30.329999923706055,30.329999923706055
event_driven,0.24230694770812988,cpu,100,0.4,0.001,0.002,0.004,35.560001373291016,35.560001373291016
event_driven,0.3209879398345947,cpu,100,0.5,0.001,0.002,0.004,37.560001373291016,37.560001373291016
event_driven,0.46986913681030273,cpu,100,0.75,0.001,0.002,0.004,39.529998779296875,39.529998779296875
event_driven,0.6677839756011963,cpu,100,1,0.001,0.002,0.004,40.81999969482422,40.81999969482422
event_driven,0.4004507064819336,cpu,1000,0.01,0.001,0.002,0.004,24.440000534057617,244.39999389648438
event_driven,2.9693338871002197,cpu,1000,0.05,0.001,0.002,0.004,37.84700012207031,378.4700012207031
event_driven,6.244063138961792,cpu,1000,0.1,0.001,0.002,0.004,40.93299865722656,409.3299865722656
event_driven,13.02401614189148,cpu,1000,0.2,0.001,0.002,0.004,43.24599838256836,432.4599914550781
event_driven,19.901030778884888,cpu,1000,0.3,0.001,0.002,0.004,44.18600082397461,441.8599853515625
event_driven,27.05630111694336,cpu,1000,0.4,0.001,0.002,0.004,45.10599899291992,451.05999755859375
event_driven,33.81402111053467,cpu,1000,0.5,0.001,0.002,0.004,45.084999084472656,450.8500061035156
event_driven,51.734275102615356,cpu,1000,0.75,0.001,0.002,0.004,46.04800033569336,460.4800109863281
clock_driven_openmp,0.02167677879333496,cpu,10,0.01,0.001,0.002,0.004,0.0,0.0
clock_driven_openmp,0.020766019821166992,cpu,10,0.05,0.001,0.002,0.004,0.10000000149011612,0.009999999776482582
clock_driven_openmp,0.019800901412963867,cpu,10,0.1,0.001,0.002,0.004,0.800000011920929,0.07999999821186066
clock_driven_openmp,0.02006816864013672,cpu,10,0.2,0.001,0.002,0.004,4.099999904632568,0.4099999964237213
clock_driven_openmp,0.02058696746826172,cpu,10,0.3,0.001,0.002,0.004,8.600000381469727,0.8600000143051147
clock_driven_openmp,0.021051883697509766,cpu,10,0.4,0.001,0.002,0.004,10.699999809265137,1.0700000524520874
clock_driven_openmp,0.021381855010986328,cpu,10,0.5,0.001,0.002,0.004,14.699999809265137,1.4700000286102295
clock_driven_openmp,0.02234816551208496,cpu,10,0.75,0.001,0.002,0.004,17.799999237060547,1.7799999713897705
clock_driven_openmp,0.024736881256103516,cpu,10,1,0.001,0.002,0.004,24.399999618530273,2.440000057220459
clock_driven_openmp,0.02161574363708496,cpu,100,0.01,0.001,0.002,0.004,0.7200000286102295,0.7200000286102295
clock_driven_openmp,0.06263422966003418,cpu,100,0.05,0.001,0.002,0.004,14.880000114440918,14.880000114440918
clock_driven_openmp,0.05966520309448242,cpu,100,0.1,0.001,0.002,0.004,24.520000457763672,24.520000457763672
clock_driven_openmp,0.10673999786376953,cpu,100,0.2,0.001,0.002,0.004,27.260000228881836,27.260000228881836
clock_driven_openmp,0.16501307487487793,cpu,100,0.3,0.001,0.002,0.004,30.56999969482422,30.56999969482422
clock_driven_openmp,0.23739290237426758,cpu,100,0.4,0.001,0.002,0.004,35.34000015258789,35.34000015258789
clock_driven_openmp,0.3125760555267334,cpu,100,0.5,0.001,0.002,0.004,37.36000061035156,37.36000061035156
clock_driven_openmp,0.48273730278015137,cpu,100,0.75,0.001,0.002,0.004,39.63999938964844,39.63999938964844
clock_driven_openmp,0.6404380798339844,cpu,100,1,0.001,0.002,0.004,40.869998931884766,40.869998931884766
clock_driven_openmp,0.395413875579834,cpu,1000,0.01,0.001,0.002,0.004,24.409000396728516,244.08999633789062
clock_driven_openmp,2.9877920150756836,cpu,1000,0.05,0.001,0.002,0.004,38.00199890136719,380.0199890136719
clock_driven_openmp,6.340197801589966,cpu,1000,0.1,0.001,0.002,0.004,40.91600036621094,409.1600036621094
clock_driven_openmp,13.300858974456787,cpu,1000,0.2,0.001,0.002,0.004,43.26599884033203,432.6600036621094
clock_driven_openmp,20.4003267288208,cpu,1000,0.3,0.001,0.002,0.004,44.17599868774414,441.760009765625
clock_driven_openmp,27.766541242599487,cpu,1000,0.4,0.001,0.002,0.004,45.08599853515625,450.8599853515625
clock_driven_openmp,34.90110731124878,cpu,1000,0.5,0.001,0.002,0.004,45.10599899291992,451.05999755859375
clock_driven_openmp,53.22399306297302,cpu,1000,0.75,0.001,0.002,0.004,46.04600143432617,460.4599914550781
clock_driven_openmp,70.68507981300354,cpu,1000,1,0.001,0.002,0.004,46.077999114990234,460.7799987792969
